Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Matr1x,MAX,$0.3047,-1.98%,$60.38 M,$244.4 M,$39.77 M,1.46x,$20 M,"Aug 5, 2024"
Layer3,L3,$0.0455,-10.61%,$4.92 M,$151.53 M,$17.33 M,0.47x,$17.5 M,"Jul 30, 2024"
Liquidium,,$0.2131,-0.05%,$14.69 K,$21.31 M,$2.51 M,0.65x,$4 M,"Jul 22, 2024"
ZkLink,ZKL,$0.1615,14.42%,$6.91 M,$150.6 M,$22.13 M,1.07x,$23.19 M,"Jul 22, 2024"
Avail,,$0.1402,-3.63%,$42.26 M,$1.39 B,$234.13 M,0.31x,$70 M,"Jul 21, 2024"
Sanctum,CLOUD,$0.1735,10.76%,$2.15 M,$172.7 M,$31.23 M,1.15x,$13.6 M,"Jul 18, 2024"
Pixelverse,PIXFI,$0.01681,-1.54%,$34.48 M,$83.7 M,,0.52x,$7.5 M,"Jul 18, 2024"
Waterfall Protocol,,$0.00476,17.96%,$12.9 K,,,0.46x,$2 M,"Jul 17, 2024"
Data Ownership Protocol,DOP,$0.00742,-4.65%,$5.3 M,$176.05 M,$60.35 M,0.43x,,"Jul 5, 2024"
Well3,WELL,$0.000857,-1.92%,$4.09 M,$35.83 M,,0.36x,$15 M,"Jul 3, 2024"
Particle,PTC,$0.01312,3.86%,$34.5 K,,,0.11x,,"Jul 2, 2024"
Natix Network,NTXT,$0.00105,1.28%,$50.49 K,$105 M,$16.94 M,1.05x,$13.1 M,"Jul 1, 2024"
Aark Digital,AARK,$0.01231,-1.16%,$16.62 K,$12.31 M,$849.39 K,0.35x,$6 M,"Jun 29, 2024"
BorpaToken,BORPA,$0.00179,-29.72%,$142.65 K,$1.84 M,,0.21x,$1.34 M,"Jun 28, 2024"
Zeta Markets,ZEX,$0.02411,-0.30%,$117.4 K,$24.23 M,$3.75 M,0.09x,$13.5 M,"Jun 27, 2024"
TeleportDAO,TST,$0.01025,-1.42%,$8.99 K,$10.24 M,,0.14x,$9.62 M,"Jun 26, 2024"
Blast,BLAST,$0.01115,1.81%,$28.66 M,$1.11 B,$189.55 M,0.56x,$20 M,"Jun 26, 2024"
LayerZero,ZRO,$3.516,3.47%,$85.42 M,$3.53 B,$390.81 M,0.79x,$263.3 M,"Jun 20, 2024"
Lista DAO (prev. Helio Protocol),LISTA,$0.3751,7.56%,$18.13 M,$375.5 M,$86.27 M,1.88x,$10.1 M,"Jun 20, 2024"
Orbital7,ORBI,$0.00245,1.49%,$37.51 K,$4.94 M,,0.59x,$2.18 M,"Jun 19, 2024"
ZKX,,$0.0338,-33.98%,$66.45 K,$3.38 M,,0.06x,$9 M,"Jun 19, 2024"
Mystiko Network,XZK,$0.0268,4.19%,$2.25 M,$26.45 M,$9.11 M,0.18x,$29.25 M,"Jun 18, 2024"
Artfi,ARTFI,$0.02556,2.36%,$398.32 K,,,0.72x,$3.26 M,"Jun 17, 2024"
zkSync,ZK,$0.1179,4.99%,$50.11 M,$2.48 B,$433.28 M,0.38x,$458 M,"Jun 17, 2024"
0xGen,,$0.00305,-7.96%,$1.45 K,$3.05 M,$384.2 K,0.08x,$40 K,"Jun 14, 2024"
Petoshi,PETOSHI,$0.08736,-9.94%,$436.3 K,$892.4 K,$252.11 K,0.09x,$2.8 M,"Jun 13, 2024"
Cookie3,COOKIE,$0.05828,-4.71%,$829.36 K,$58.21 M,$2.79 M,2.08x,$12.57 M,"Jun 13, 2024"
YOLO Games,YOLO,$0.00234,1.97%,$14.72 K,$20.8 M,,0.29x,,"Jun 12, 2024"
Aethir,ATH,$0.06174,1.08%,$28.11 M,$2.59 B,$250.46 M,0.57x,$162.8 M,"Jun 12, 2024"
io.net,IO,$1.613,2.79%,$68.04 M,$810.5 M,$153.24 M,0.43x,$30 M,"Jun 11, 2024"
Taiko,TAIKO,$1.885,0.98%,$20.38 M,$1.89 B,$118.94 M,0.94x,$37 M,"Jun 4, 2024"
Ultiverse,ULTI,$0.01837,-2.76%,$9.16 M,$183.9 M,,0.14x,$13.5 M,"May 30, 2024"
NuLINK,NLK,$0.02959,-3.16%,$437.57 K,$29.64 M,,0.18x,$11.1 M,"May 30, 2024"
Multipool,MUL,$0.03105,2.02%,$21.76,$3.11 M,,0.34x,$650 K,"May 28, 2024"
MON Protocol,MON,$0.1587,-1.94%,$5.96 M,$160.2 M,$22.67 M,1.6x,$6.15 M,"May 27, 2024"
Sekuya,SKYA,$0.00598,-1.61%,$4.67 K,$6 M,$807.24 K,0.25x,$1.6 M,"May 23, 2024"
Holograph,HLG,$0.00149,8.14%,$195.04 K,$15.17 M,$2.27 M,0.07x,$11 M,"May 23, 2024"
Arrow Markets,ARROW,$0.1553,-1.95%,$17.74 K,,,0.44x,$5.65 M,"May 22, 2024"
Nyan Heroes,NYN,$0.09097,4.03%,$3.88 M,$91.34 M,$12.16 M,2.26x,$13.5 M,"May 20, 2024"
Verida,,$0.01823,2.81%,$206.54 K,$18.25 M,$2.16 M,0.25x,$5 M,"May 16, 2024"
Notcoin,NOT,$0.01148,1.32%,$119.2 M,$1.18 B,$1.18 B,1.69x,,"May 16, 2024"
Ekubo,,$1.92,5.49%,$29.88 K,$19.2 M,$19.2 M,1.97x,$12 M,"May 15, 2024"
Lifeform,LFT,$0.02439,1.51%,$408.88 K,$24.57 M,$2.93 M,0.82x,$5 M,"May 15, 2024"
Cross The Ages,CTA,$0.1163,-5.68%,$5.42 M,$58.25 M,$6.93 M,0.47x,$16 M,"May 14, 2024"
Subsquid,SQD,$0.06083,-1.26%,$359.19 K,$81.34 M,,0.65x,$15.28 M,"May 14, 2024"
Imaginary Ones,BUBBLE,$0.00237,-1.94%,$5.19 M,$23.8 M,$3.26 M,0.1x,,"May 14, 2024"
BounceBit,BB,$0.3116,3.99%,$40.1 M,$650.79 M,$127.6 M,0.89x,$6 M,"May 13, 2024"
Meson.Network,MSN,$0.1136,5.57%,$7.33 M,$11.57 M,,0.07x,$12.25 M,"May 12, 2024"
Masternoded,NODED,$0.00000052,21.58%,$195.25 K,$364 K,$184.65 K,0.06x,,"May 10, 2024"
Galaxis,GLX,$0.00526,1.55%,$3.15 M,$39.23 M,,0.42x,$12.15 M,"May 10, 2024"
Mode,,$0.01183,-1.08%,$115.5 K,$118.6 M,$15.38 M,0.08x,$5.3 M,"May 7, 2024"
XSwap,XSWAP,$0.04447,7.44%,$175.64 K,$15.56 M,$3.97 M,0.89x,$900 K,"May 6, 2024"
ZeroLend,ZERO,$0.000227,5.87%,$6.99 M,$22.5 M,$5.68 M,0.28x,$3 M,"May 5, 2024"
Friend.tech,,$0.474,-23.67%,$13.04 K,$44.84 M,$44.84 M,0.16x,,"May 2, 2024"
TARS Protocol,TARS,$0.1096,-1.72%,$9.02 M,$109.4 M,$13.06 M,1.77x,,"May 2, 2024"
Massa Labs,MASSA,$0.02798,-3.14%,$116.91 K,$28.1 M,$4.61 M,0.23x,$14.42 M,"Apr 30, 2024"
Renzo Protocol,REZ,$0.04894,7.34%,$23.36 M,$488.2 M,$51.39 M,0.16x,$20.2 M,"Apr 30, 2024"
Ordz Games,,$0.2013,28.20%,$120.4 K,,,0.23x,,"Apr 29, 2024"
Lillius,LLT,$0.00257,-5.35%,$11.21 K,$2.51 M,,0.07x,$2.2 M,"Apr 26, 2024"
Zentry,ZENT,$0.01605,2.13%,$5.23 M,$152.84 M,$88.02 M,0.4x,,"Apr 26, 2024"
EarlyFans,,$0.00738,9.17%,$4.81 K,,,0.11x,$1.5 M,"Apr 25, 2024"
Gameta,HIP,$0.00304,-10.52%,$41.3 K,$3.07 M,,0.06x,$5 M,"Apr 24, 2024"
Exverse,EXVG,$0.01841,-1.10%,$703.67 K,,,0.1x,$3 M,"Apr 24, 2024"
Playbux,,$0.0375,-5.29%,$3.84 M,$15 M,,0.5x,$2.45 M,"Apr 23, 2024"
Black Panther,BLACK,$0.00927,1.09%,$1.38 K,,,0.15x,,"Apr 22, 2024"
Runecoin,RUNECOIN,$0.0038,39.80%,$3.72 M,$77.07 M,,0.22x,,"Apr 21, 2024"
Fjord Foundry,FJO,$0.3435,2.65%,$6.48 K,$33.35 M,$3.63 M,0.17x,$4.3 M,"Apr 19, 2024"
Snapmuse.io,SMX,$0.00931,-0.41%,$185.69 K,$4.67 M,,0.47x,$1.48 M,"Apr 19, 2024"
Merlin Chain,MERL,$0.2515,1.86%,$19.27 M,$528.36 M,$61.79 M,0.2x,,"Apr 19, 2024"
GenomesDAO,GENE,$0.00798,1.78%,$123.82 K,$7.98 M,,0.61x,,"Apr 18, 2024"
Merlin Starter,MSTAR,$0.0174,-1.28%,$340.44 K,$17.46 M,,0.44x,$10 K,"Apr 17, 2024"
Omni Network,OMNI,$8.55,12.94%,$19.36 M,$835 M,$88.85 M,5.59x,$18.14 M,"Apr 17, 2024"
Parcl,PRCL,$0.1889,17.74%,$13.03 M,$180.9 M,$25.47 M,0.3x,$11.6 M,"Apr 16, 2024"
Massa,MASSA,$0.02798,-3.14%,$116.91 K,$28.09 M,$4.61 M,0.35x,,"Apr 15, 2024"
FreeBnk,FRBK,$0.03316,-1.34%,$928.79 K,$16.62 M,,1.15x,$3 M,"Apr 14, 2024"
BlockGames,BLOCK,$0.06674,-0.17%,$480.16 K,$66.76 M,$9.07 M,0.2x,$6 M,"Apr 11, 2024"
Masa,MASA,$0.03696,-1.29%,$10.48 M,$57.93 M,$3.9 M,0.46x,$17.69 M,"Apr 11, 2024"
Eesee,ESE,$0.0229,-4.18%,$580.38 K,$10.77 M,$4.85 M,6.54x,$3 M,"Apr 11, 2024"
Trex20,TX20,$0.00779,-0.66%,$169.26 K,$310.4 K,$311.6 K,0.18x,$1 M,"Apr 9, 2024"
PrivateAI,PGPT,$0.4632,15.61%,$162.71 K,$45.7 M,,1.39x,$1.19 M,"Apr 9, 2024"
GAM3S.GG,G3,$0.054,0.20%,$328.15 K,$53.93 M,,1.35x,$4.5 M,"Apr 9, 2024"
Truflation,,$0.1,-0.86%,$283.5 K,$100.4 M,$15.69 M,1.34x,$6.4 M,"Apr 9, 2024"
Saga,SAGA,$1.666,31.63%,$97.41 M,$1.7 B,$165.52 M,0.34x,$13.5 M,"Apr 8, 2024"
Tensor,,$0.3694,8.80%,$24.37 M,$367.7 M,$46.18 M,0.2x,$3 M,"Apr 8, 2024"
Planet Mojo,MOJ,$0.0248,-1.59%,$113.78,$24.8 M,$18.56 M,0.25x,$18.57 M,"Apr 8, 2024"
SatoshiSync,SSCN,$0.00234,3.35%,$1.42 K,,,0.02x,,"Apr 4, 2024"
Zeus Network,ZEUS,$0.1997,3.93%,$5.2 M,$199.5 M,$33.45 M,0.67x,$8 M,"Apr 4, 2024"
Wormhole,,$0.2258,5.15%,$25.65 M,$2.25 B,$406.44 M,0.9x,$225 M,"Apr 4, 2024"
Dopamine,DOPE,$0.002,-17.61%,$4.19 K,$276.25 K,$89.19 K,0.01x,$4.5 M,"Apr 3, 2024"
Velar,VELAR,$0.0557,0.14%,$127.89 K,$55.44 M,$4.74 M,1.85x,$3.74 M,"Apr 3, 2024"
MetaDOS,SECOND,$0.000461,-3.90%,$50.2 K,$4.61 M,$509.59 K,0.38x,$3.05 M,"Apr 2, 2024"
Versus-X,VSX,$0.01646,-6.37%,$12.87 K,$1.65 M,$495.85 K,0.1x,$1.96 M,"Apr 2, 2024"
Sugar Kingdom,SKO,$0.00248,6.55%,$1.48 K,$16 M,,0.02x,$2.4 M,"Apr 2, 2024"
Ethena,USDe,$0.3304,9.15%,$68.64 M,$5.01 B,$596.78 M,0.44x,$20.5 M,"Apr 1, 2024"
Castle Of Blackwater,COBE,$0.06862,0.10%,$2.88 K,$6.82 M,$512.83 K,0.34x,$1 M,"Mar 29, 2024"
SpaceCatch,CATCH,$0.2785,-3.49%,$6.64 K,$28.16 M,$4.9 M,3.5x,,"Mar 28, 2024"
BITBRAWL,BRAWL,$0.000588,-0.25%,$74.32 K,$5.84 M,,0.05x,$3 M,"Mar 28, 2024"
